MCAT ID,MCAT Name,eto_ofr_reject_comment,Frequency
6472,Commercial Atta Chakki Machine,this lead is irrelevant ,82
6472,Commercial Atta Chakki Machine,Not interested ,14
6472,Commercial Atta Chakki Machine,do not deal Commercial Atta Chakki Machine,12
6472,Commercial Atta Chakki Machine,This is not relevant to our machines - specific reason,8
6472,Commercial Atta Chakki Machine,Commercial Atta Chakki Machine,3
6472,Commercial Atta Chakki Machine,I do not deal in this specification,3
6472,Commercial Atta Chakki Machine,Atta Chakki Machine,2
6472,Commercial Atta Chakki Machine,Call cut,2
6472,Commercial Atta Chakki Machine,"do not deal Semi Automatic 3 HP Vertical Flour Mill, 30 Kg/hr",2
6472,Commercial Atta Chakki Machine,home products,2
6472,Commercial Atta Chakki Machine,I do not deal in Atta Chakki Machine,2
6472,Commercial Atta Chakki Machine,i dont deal this product ,2
6472,Commercial Atta Chakki Machine,no deal small machine ,2
6472,Commercial Atta Chakki Machine,Pathar Chakki not deal ,2
6472,Commercial Atta Chakki Machine,12 Inch Plane 2 HP Vertical Flour Mills,1
6472,Commercial Atta Chakki Machine,14"x3 HP Tp Savalia Mini Commercial Flour Mill,1
6472,Commercial Atta Chakki Machine,16 inch commercial atta chakki,1
6472,Commercial Atta Chakki Machine,16 Inch Horizontal Janta Type Flour Mill Machine,1
6472,Commercial Atta Chakki Machine,18 inch,1
